Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du d�partement;Nom de la r�gion;Commentaires;Nom de la borne
Avenue Charles de Gaulle";2;50.0;semi-rapide;payant;24/24 7/7 jours;45.8374,5.28599;Saint-Vulbas;AIN;AUVERGNE-RHONE-ALPES;;B6233
Alizé Liberté;Rn 98 83160 LA VALETTE DU VAR;8;22.0;semi-rapide;payant;24/24 7/7 jours;43.142785,6.016314;La Valette-du-Var;VAR;PROVENCE-ALPES-COTE D'AZUR;;B6234
cchvc.clem.mobi;10 Rue Charles Michels, Chevreuse;2;22.0;semi-rapide;payant;24/24 7/7 jours;48.705908,2.045842;Chevreuse;YVELINES;ILE-DE-FRANCE;;B6235
Révéo;Parking bessière 46000 CAHORS;8;36.0;semi-rapide;payant;24/24 7/7 jours;44.452447,1.437825;Cahors;LOT;OCCITANIE;;B6236
Révéo;Place de la république 46400 SAINT CERE;4;36.0;semi-rapide;payant;24/24 7/7 jours;44.858348,1.893346;Saint-Céré;LOT;OCCITANIE;;B6237
VIRTA;ZAC BOIS Gaulpied - 37310 SUBLAINES;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.289471,0.988258;Sublaines;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6238
VIRTA;Les Gaudières - Rue de la plaine - 37390 METTRAY;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.458446,0.672785;Mettray;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6239
VIRTA;Rue de la Gare - 37800 MAILLE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.053437,0.582874;Maillé;VENDEE;PAYS DE LA LOIRE;;B6240
VIRTA;Place des anciens combattants - 37130 CINQ MARS LA PILE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.346217,0.458669;Cinq-Mars-la-Pile;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6241
VIRTA;Avenue Marcel Dassault - 37000 TOURS;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.363736,0.677547;Tours;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6242
VIRTA;Rue Creuse - 37190 CHEILLE;1;18.0;semi-rapide;payant;24/24 7/7 jours;47.254977,0.462365;Cheillé;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE;;B6243
